Gender Identity,Age,Date of Birth,Marital Status,Sexual Orientation,Nationality,Country of Residence,State/Province,City,Rural or Urban,Type of Residence,Length of Residence,Level of Education,Field of Study,Occupation,Income Level,Social Class,Employment Status,Home Ownership,Ethnicity,Language(s) Spoken,Religion,Cultural Practices,Immigration Status,Hobbies and Interests,Shopping Preferences,Dietary Preferences,Physical Activity Levels,Social Media Usage,Travel Habits,Alcohol and Tobacco Use,Technology Usage,Family Structure,Household Size,Pet Ownership,Relationship Status,Caregiving Responsibilities,General Health Status,Disabilities or Chronic Illnesses,Mental Health Status,Health Insurance Status,Access to Healthcare,Political Affiliation,Voting Behavior,Political Engagement
Female,78,1943-03-19,Widow,Heterosexual,English,United Kingdom,England,London,Urban,Apartment,8 years,Master's Degree,Philosophy,Retired,Middle,Middle Class,Retired,Owned,Caucasian,English,Christian,Observes Christmas and Easter,N/A,"Reading, Gardening",Online Shopping,Vegetarian,Light,Facebook,Rarely,Occasional Wine,Email and Internet Browsing,Single with Adult Children,1,Dog,Widow,None,Good,Arthritis,Mild Depression,NHS,Regular Check-ups,Labour Party,Always Votes,Occasionally Watches News
Male,75,1945-10-27,Married,Straight,British,United Kingdom,England,London,Urban,Detached house,30 years,Master's Degree,Economics,Retired,Medium,Upper middle class,Retired,Own,Caucasian,English,Church of England,"Christmas, Easter",Citizen,"Reading, gardening","Online, occasional physical stores",Balanced,Low,Minimal,Occasional domestic travel,"Occasional alcohol, no tobacco",Basic,2 children,2,Dog,Married,None,Good,Arthritis,Good,NHS,Good,Conservative Party,Regular voter,Minimal
Male,75,01/01/1946,Married,Heterosexual,British,United Kingdom,England,London,Urban,Detached house,40 years,Bachelor's Degree,Economics,Retired,Middle,Middle class,Retired,Owned,Caucasian,English,Christian,British traditions,Native,"Reading, Gardening",Online shopping,Balanced diet,Moderate,Occasional,Annual trips,"Social drinker, Non-smoker",Regular,"2 children, 4 grandchildren",2,One dog,Married,None,Good,None,Good,Insured,Good,Conservative Party,Regular voter,Occasional
Male,75,15-04-1946,Widowed,Heterosexual,British,United Kingdom,Kent,Canterbury,Urban,House,30 years,Bachelor's Degree,History,Retired,Middle,Middle Class,Retired,Owner,White British,English,Christianity,Traditional English customs,N/A,"Reading, Gardening",Online,Non-Vegetarian,Low,Low,Occasional Local Travel,"Alcohol- Occasionally, Tobacco- Never",Basic,Two children,1,No Pets,Widowed,None,Good,Arthritis,Stable,Covered,Good,Conservative,Regular Voter,Low
Male,83,13/03/1938,Widowed,Heterosexual,British,United Kingdom,England,London,Urban,Detached House,20 years,Bachelor's Degree,Engineering,Retired,Lower-Middle,Working Class,Retired,Own,White,English,Christian,Attends Church on Sundays,N/A,"Reading, Gardening, Crosswords","Online, for Convenience",Regular Diet,Low,Checking Emails and News Online,Occasional Local Trips,"Non-smoker, Occasional Wine","Basic, Use of Smartphone and Laptop",Two Grown-Up Children,1,One Dog,Widowed,None,"Good, for Age",Arthritis,Stable,Covered by NHS,Local GP and Hospital,Labour Party,Regular Voter,"Follows News, Votes in Elections"
Male,75,1945-08-12,Widowed,Straight,British,United Kingdom,England,London,Urban,Detached House,40 years,College Graduate,Music,Retired,Low,Middle Class,Retired,Owns,Caucasian,English,Christian,Traditional,Native Born,"Music, Gardening",Online,Vegetarian,Low,Seldom,Rare,"Non-smoker, Occasional drinker",Average,"2 children, 3 grandchildren",1,Dog,Widowed,None,Moderate,"Back pain, Diabetes",Good,Insured,Good,Conservative Party,Always votes,Average
Male,75,01-01-1945,Married,Heterosexual,British,United Kingdom,England,London,Urban,House,20 years,Graduate Degree,Economics,Retired,Mid,Upper Middle,Retired,Owner,White,English,Christianity,Traditional British,Citizen,"Golf, Reading",Online,Balanced,Low,Low,Annually,"Alcohol- Occasionally, Tobacco- Never",Average,"2 Children, 4 Grandchildren",2,Dog,Married,None,Good,Arthritis,Good,Covered,Good,Conservative,Regular Voter,Low
Male,80,1942-03-15,Married,Heterosexual,British,United Kingdom,England,London,Urban,House,40 years,Bachelor’s degree,History,Retired Professor,Medium,Middle Class,Retired,Owner,White British,English,Catholic,Traditional British,Non-immigrant,"Gardening, Reading",Online shopping,Non-vegetarian,Moderate,Less Frequent,Occasionally,"Non-smoker, Drinks socially",Moderate,"2 children, 3 grandchildren",2,1 Dog,Married,None,Good,Arthritis,Good,Covered,Good,Conservative Party,Regular Voter,Somewhat Interested
Female,85,1936-12-13,Widowed,Heterosexual,British,United Kingdom,England,London,Urban,Flat,10 years,Bachelor's Degree,Social Studies,Retired,Lower-middle income,Middle Class,Retired,Yes,Caucasian,English,Christian,British Culture,Native born,"Gardening, Reading",Online Shopping,Vegetarian,Low,Occasional,Locally,Never,Average,"2 children, 3 grandchildren",1,One cat,Widowed,None,Good,Osteoporosis,Good,State Insurance,Good,Labour Party,Regular Voter,Low
Male,75,01/01/1946,Married,Heterosexual,British,United Kingdom,England,London,Urban,Detached House,40 years,Master’s Degree,History,Retired Professor,Upper Middle,Upper Middle,Retired,Owner,White British,English,Anglican,Traditional British customs,Native born,"Reading, Gardening, Chess",Largely Online,Non-Vegetarian,Low,Minimal,Mainly local travel,"Occasional Alcohol, Non-smoker",Basic,"Two adult children, four grandchildren",2,One Dog,Married,None,Good,Arthritis,Good,Private Healthcare,Good,Conservative Party,Regular Voter,Medium
Female,75,1945-02-12,Widowed,Straight,British,United Kingdom,England,London,Urban,Private residence,40 Years,Bachelor's degree,Economics,Retired,Low,Middle Class,Retired,Owned,Caucasian,['English'],Christianity,Christmas & Easter celebrations,Non-immigrant,"['Gardening', 'Reading', 'Travel']","['Groceries', 'Clothing']",Vegetarian,Moderate,Facebook,Annual,"Non-smoker, Moderate drinker",Typical,Single Parent,1,None,Widowed,None,Average,['Arthritis'],Stable,Covered,Regular,Labour Party,Frequent voter,Locally Active
Female,75,25/05/1946,Married,Heterosexual,British,United Kingdom,England,London,Urban,House,40 Years,Master's Degree,English Literature,Retired,Middle class,Middle class,Retired,Owner,Caucasian,English,Christian,Traditional British customs,Citizen,"Reading, Gardening, Traveling",Online shopping,No Specific Diet,Moderate,Facebook and WhatsApp,Annual vacations,"Occasional Wine, Non-Smoker",Moderate,"Two children, four grandchildren",2,One dog,Married,Supports grandchild,Good,Arthritis,Good,Insured,Regular check-ups,Labour Party,Always votes,Occasionally attends local council meetings
Female,75,1945-10-30,Widowed,Heterosexual,British,United Kingdom,Wales,Cardiff,Urban,Apartment,10 years,High School graduate,History,Retired,Low,Working Class,Unemployed,Owner,White,English,Christian,Church every Sunday,Citizen,"Reading, Gardening",Online Shopping,Vegetarian,Low,Rarely,Local trips,"Never smoked, Rarely drinks",Basic,"3 Children, 7 Grandchildren",1,1 Cat,Widow,None,Fair,Arthritis,Good,Government funded,Good,Labour Party,Always votes,Low
Female,75,01/01/1946,Widowed,Heterosexual,British,United Kingdom,London,London,Urban,Apartment,20 Years,Bachelor's Degree,English Literature,Retired,"50,000-70,000 Pounds",Middle Class,Retired,Owned,White British,English,Christian,British Traditional,Citizen,"Reading, Gardening, Travel",Online,Vegetarian,Low,"Facebook, WhatsApp",1-2 Times Per Year,"Wine Occasionally, No Smoking",Intermediate,"2 Children, 3 Grandchildren",1,Cat,Widowed,N/A,Moderate,Arthritis,Good,NHS,Yes,Labour Party,Regular Voter,Low
Male,75,01-01-1945,Married,Heterosexual,British,United Kingdom,England,London,Urban,Detached House,40 Years,Bachelor's Degree,Economics,Retired,High,Upper Middle Class,Unemployed,Owns Home,White British,English,Christianity,Celebrates Christmas,N/A,"Golf, Reading, Traveling","Online, High-End Brands",No Dietary Restrictions,Moderate,Low,Travels 2-3 times a year,"Occasional Drink, Non-Smoker",Moderate,"2 Children, 3 Grandchildren",2,Owns a Dog,Married,None,Good,Arthritis,Stable,Insured,Good,Conservative,Votes Consistently,Low
Female,80,1940-12-12,Widow,Heterosexual,British,United Kingdom,England,London,Urban,Apartment,10 years,Master's Degree,Psychology,Retired,Middle,Upper Middle,Retired,Owner,White,English,Christian,Traditional British customs,N/A,"Knitting, reading",Online,No restrictions,Low,Rarely,Rarely travels,Does not use tobacco or alcohol,Basic,"Two adult children, four grandchildren",1,Has one dog,Widowed,None,Fair,Arthritis,Good,Covered,Has regular access,Labour Party,Always votes,Moderate
Female,72,1949-05-18,Widowed,Heterosexual,British,United Kingdom,England,London,Urban,Detached House,30 years,Bachelor's Degree,English Literature,Retired,Low,Working Class,Retired,Owner,White British,English,Christian,Church attending,Non-immigrant,"Reading, Gardening",Online Shopping,No special Diet,Moderate,Occasionally,Rarely,"Non-smoker, Low Alcohol Consumption",Intermediate,"2 Children, 4 Grandchildren",1,Owns a cat,Widowed,None,Good,Arthritis,Good,Coverage through the National Health Service,Regular,Labour Party,Always Votes,Moderate
Female,75,1946-05-06,Widowed,Heterosexual,British,United Kingdom,England,London,Urban,Bungalow,40 years,PhD,English Literature,Retired Professor,Middle,Middle Class,Retired,Owner,White,English,Christian,Attends church weekly,Citizen,"Reading, Knitting, Gardening",Online Shopping,Vegetarian,Low,Occasional,"Rarely, mostly domestic trips",Does not consume alcohol or tobacco,"Moderate, mainly for communication and news","Two adult children, four grandchildren",1,Has a cat,Widowed,None,Good,Arthritis,Good,Covered under NHS,Has regular access,Labour Party,Regularly votes in all elections,Moderate
Female,75,1946-02-12,Widow,Heterosexual,British,United Kingdom,England,London,Urban,Flat,10 years,Master's Degree,Education,Retired Educator,Lower Middle Class,Lower Middle,Retired,Owner,White British,English,Christianity,Traditional British,N/A,"Reading, Gardening",Online shopping,Balanced Diet,Low,Minimal,Occasional,"Non-smoker, Occasional Alcohol",Minimal,Two Adult Children,1,None,Single,None,Good,Arthritis,Stable,Public,Good,Labour,Regular Voter,Low
Female,75,1946-05-02,Widowed,Heterosexual,British,United Kingdom,England,London,Urban,Apartment,20 years,Bachelor's Degree,Literature,Retired,Middle class,Middle class,Retired,Owns,White,English,Christian,Western,Native Born,"Reading, Gardening",Online shopping,Vegetarian,Low,Facebook,Rarely,"Non-smoker, alcohol occasionally",Moderate,"Two daughters, four grandchildren",1,One dog,Widowed,None,Good,None,Good,NHS,Easy,Labour party,Always votes,Moderate
